,_,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0007938203494485148,0.0011854942421843256,0.00011310369095044801,0.0009697594242603228,0.0012399515748641708,0.0,0.0007624026575178348,0.0011247533711183442,0.0,5.0268307089088005e-05,0.0017908084400487603,0.0016504760827583897,0.0014242687008574936,0.002923939862348619,0.00010891466535969068,0.00016127748524415736,0.0010598234744616055,0.002345854330824107,0.004471784818133454,0.0,2.094512795378667e-06,0.0004922105069139868,0.00010263112697355468,0.0006513934793627654,0.0003749177903727814,0.0001654665108349147,0.0,0.0,0.0,0.0,0.0016379090059861175,0.0011771161910028108
2,0.0,0.0002094512795378667,5.0268307089088005e-05,0.0,0.0,5.445733267984534e-05,0.0005634239419568614,0.0,0.0,0.0,0.0,0.0,0.0,0.0004817379429370934,0.0,0.00016337199803953602,0.0016672321851214189,0.0,0.0007163233760195041,0.0,0.00010053661417817601,0.0007435520423594268,0.0,5.0268307089088005e-05,0.0,0.0,5.864635827060267e-05,0.000540384301207696,5.864635827060267e-05,0.0023374762796425923,0.0,0.0,0.0,0.0010346893209170615
3,0.0,0.0029134672983717256,0.0,0.00016337199803953602,5.445733267984534e-05,0.00016756102363029335,0.001359338804200755,0.0,0.0,5.6551845475224006e-05,8.378051181514668e-06,0.0,0.00016756102363029335,0.000640920915385872,5.0268307089088005e-05,0.000320460457692936,0.004243482923437179,4.189025590757334e-06,0.00010682015256431201,0.0018452657727286055,0.0006053141978644347,0.0006157867618413281,0.0,0.0,5.0268307089088005e-05,0.0,5.236281988446667e-05,0.00010891466535969068,0.0,0.0009132075787850988,5.445733267984534e-05,0.0,0.0,0.0004963995325047441
4,0.0,0.0009341527067388855,0.0,0.0,0.0,0.0008880734252405548,0.00016337199803953602,0.0,0.0,5.445733267984534e-05,2.094512795378667e-06,0.0,5.445733267984534e-05,0.0008231435285838161,5.0268307089088005e-05,5.0268307089088005e-05,0.004765016609486468,0.0,0.0006513934793627654,0.0,0.0,0.000540384301207696,0.0,0.00026809763780846936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010891466535969068
5,0.0,0.0024631470473653124,0.0,0.00043356414864338406,0.0,0.00011729271654120535,0.002287207972553504,0.0,0.00010891466535969068,2.094512795378667e-06,6.283538386136001e-06,0.0,0.0002722866633992267,0.0014305522392436295,0.00016337199803953602,0.0010954301919830428,0.001281841830771744,0.0,0.0008755063484682828,0.00010891466535969068,0.00042728061025724804,0.0009571923474880508,0.0,0.0,0.00026390861221771205,5.445733267984534e-05,5.445733267984534e-05,0.0,0.0,0.0003853903543496747,0.0002597195866269547,0.0,0.0,0.0003099878937160427
6,0.0,5.0268307089088005e-05,0.0010472563976893334,0.0003853903543496747,0.0008964514764220695,0.0012860308563625016,0.0006136922490459494,0.0,0.00016127748524415736,0.00032883850887445074,0.0,0.002113363410537075,0.0008398996309468454,0.0017363511073689149,0.0018201316191840617,0.0060112517227367745,0.0002722866633992267,0.00031417691930680006,0.0024673360729560697,0.0018201316191840617,0.0031543362698402723,5.0268307089088005e-05,0.0,0.00016127748524415736,5.864635827060267e-05,0.0002660031250130907,0.000540384301207696,0.0002722866633992267,0.0,0.0,0.0,0.0,0.000270192150603848,5.864635827060267e-05
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0003246494832836934,0.0,0.00043984768702952007,0.0,0.0005613294291614828,0.0011289423967091015,0.0,0.0,0.000540384301207696,1.4661589567650668e-05,0.0,0.0,0.00010472563976893334,0.0,0.0012608967028179575,0.0,0.0,0.0,0.0,5.0268307089088005e-05,0.000270192150603848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010053661417817601,0.0,0.0,0.0
9,0.0,0.0014808205463327174,0.00010053661417817601,0.0003099878937160427,0.00029323179135301336,0.00016127748524415736,0.00021782933071938136,0.0,5.0268307089088005e-05,0.0,0.0,0.0,0.00010891466535969068,5.6551845475224006e-05,0.0006492989665673868,0.0027521898131275683,0.00031836594489755737,0.0,0.00015708845965340003,0.00016756102363029335,5.445733267984534e-05,0.0007603081447224561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003994235900787118,0.0003309330216698294,0.0,0.0,0.00016756102363029335
